iso3,year,louvain_community,leiden_community,gn_community,dominant_region,community_label
WSM,2010,7,4,38,South-Eastern Asia & Western Asia,Cluster 7: South-Eastern Asia & Western Asia
ATG,2010,5,3,39,Latin America & Caribbean,Cluster 5: Latin America & Caribbean
BHS,2010,3,7,40,Caribbean,Cluster 3: Caribbean
BLZ,2010,5,3,41,Latin America & Caribbean,Cluster 5: Latin America & Caribbean
BMU,2010,9,0,42,Pan-Europe,Cluster 9: Pan-Europe
BRB,2010,9,0,43,Pan-Europe,Cluster 9: Pan-Europe
GHA,2010,1,8,2,Sub-Saharan Africa,Cluster 1: Sub-Saharan Africa
GLP,2010,6,1,44,Sub-Saharan Africa & Latin America,Cluster 6: Sub-Saharan Africa & Latin America
GUF,2010,9,7,45,Pan-Europe,Cluster 9: Pan-Europe
LCA,2010,9,0,46,Pan-Europe,Cluster 9: Pan-Europe
MTQ,2010,6,1,47,Sub-Saharan Africa & Latin America,Cluster 6: Sub-Saharan Africa & Latin America
TCA,2010,3,7,48,Caribbean,Cluster 3: Caribbean
TTO,2010,5,3,2,Latin America & Caribbean,Cluster 5: Latin America & Caribbean
VGB,2010,5,3,49,Latin America & Caribbean,Cluster 5: Latin America & Caribbean
BDI,2010,2,0,50,Sub-Saharan Africa,Cluster 2: Sub-Saharan Africa
BEN,2010,1,8,2,Sub-Saharan Africa,Cluster 1: Sub-Saharan Africa
BFA,2010,1,8,2,Sub-Saharan Africa,Cluster 1: Sub-Saharan Africa
BIH,2010,9,2,2,Pan-Europe,Cluster 9: Pan-Europe
BLR,2010,0,6,14,Pan-Europe,Cluster 0: Pan-Europe
BRN,2010,7,4,51,South-Eastern Asia & Western Asia,Cluster 7: South-Eastern Asia & Western Asia
BTN,2010,7,5,52,South-Eastern Asia & Western Asia,Cluster 7: South-Eastern Asia & Western Asia
BWA,2010,2,0,53,Sub-Saharan Africa,Cluster 2: Sub-Saharan Africa
CAF,2010,2,0,2,Sub-Saharan Africa,Cluster 2: Sub-Saharan Africa
CMR,2010,2,0,2,Sub-Saharan Africa,Cluster 2: Sub-Saharan Africa
COK,2010,7,4,54,South-Eastern Asia & Western Asia,Cluster 7: South-Eastern Asia & Western Asia
CYM,2010,3,0,55,Caribbean,Cluster 3: Caribbean
DJI,2010,2,0,56,Sub-Saharan Africa,Cluster 2: Sub-Saharan Africa
FIN,2010,9,2,2,Pan-Europe,Cluster 9: Pan-Europe
FLK,2010,9,0,57,Pan-Europe,Cluster 9: Pan-Europe
GAB,2010,1,8,58,Sub-Saharan Africa,Cluster 1: Sub-Saharan Africa
GIB,2010,9,0,59,Pan-Europe,Cluster 9: Pan-Europe
GMB,2010,6,1,60,Sub-Saharan Africa & Latin America,Cluster 6: Sub-Saharan Africa & Latin America
GUM,2010,7,0,61,South-Eastern Asia & Western Asia,Cluster 7: South-Eastern Asia & Western Asia
HKG,2010,7,0,2,South-Eastern Asia & Western Asia,Cluster 7: South-Eastern Asia & Western Asia
IMN,2010,9,0,62,Pan-Europe,Cluster 9: Pan-Europe
