iso3,year,louvain_community,leiden_community,gn_community
SVK,2005,3,3,0
SVN,2005,3,3,21
UKR,2005,2,5,0
AZE,2005,2,5,0
GEO,2005,2,5,0
IRQ,2005,6,7,0
KAZ,2005,2,5,0
TKM,2005,2,5,0
ASM,2005,0,0,22
FJI,2005,0,0,23
TON,2005,0,0,24
VNM,2005,5,1,0
WSM,2005,0,0,25
ATG,2005,5,1,26
BHS,2005,5,1,27
BLZ,2005,5,1,28
BRB,2005,0,0,29
DMA,2005,5,1,30
GHA,2005,7,6,0
GRD,2005,0,0,31
GUY,2005,5,1,0
JAM,2005,5,1,0
KNA,2005,5,1,32
LCA,2005,0,0,33
SUR,2005,1,2,0
TTO,2005,5,1,0
VCT,2005,0,0,34
BDI,2005,4,4,35
BEN,2005,7,6,0
BFA,2005,7,6,36
BIH,2005,3,3,0
BLR,2005,2,5,0
BRN,2005,0,0,37
BTN,2005,0,0,0
BWA,2005,4,4,38
CAF,2005,4,4,39
CMR,2005,1,2,40
DJI,2005,4,4,41
FIN,2005,3,3,13
GAB,2005,7,6,42
GMB,2005,7,6,43
KEN,2005,4,4,1
KGZ,2005,2,5,0
KHM,2005,5,1,0
KIR,2005,0,0,44
LBR,2005,7,6,4
LBY,2005,6,7,0
LSO,2005,4,4,0
LUX,2005,1,2,45
LVA,2005,2,5,0
MDA,2005,2,5,0
MDG,2005,1,2,0
MDV,2005,0,0,46
MLI,2005,7,6,0
MLT,2005,0,0,47
MNG,2005,2,5,48
MUS,2005,1,2,49
MWI,2005,4,4,50
MYS,2005,0,0,0
OMN,2005,0,0,0
PNG,2005,0,0,51
SLB,2005,0,0,52
SLE,2005,7,6,53
SWZ,2005,4,4,54
TGO,2005,7,6,0
TLS,2005,0,0,55
TZA,2005,4,4,1
UGA,2005,4,4,1
VUT,2005,0,0,56
ZWE,2005,4,4,0
MRT,2005,1,2,57
NER,2005,7,6,58
GNQ,2005,7,6,59
COM,2005,1,2,60
FSM,2005,5,1,61
MHL,2005,5,1,62
PLW,2005,5,1,63
PAK,2010,0,1,0
AFG,2010,0,1,0
TJK,2010,2,5,0
UZB,2010,2,5,0
COD,2010,3,2,1
AGO,2010,3,2,1
COG,2010,3,2,2
CPV,2010,3,2,3
GIN,2010,3,2,4
MOZ,2010,3,2,5
NAM,2010,3,2,6
PRT,2010,1,3,0
RWA,2010,3,2,1
STP,2010,1,3,7
TCD,2010,3,2,8
ZAF,2010,3,2,5
ZMB,2010,3,2,9
CAN,2010,4,0,0
ALB,2010,2,4,10
GRC,2010,2,4,0
ITA,2010,1,4,0
MKD,2010,2,4,11
TUR,2010,2,4,0
USA,2010,4,0,0
ARG,2010,1,3,0
AND,2010,1,3,12
AUS,2010,0,1,0
BEL,2010,1,3,0
CHE,2010,2,4,0
CHL,2010,1,3,0
DEU,2010,2,4,0
DNK,2010,5,4,13
ESP,2010,1,3,0
FRA,2010,1,3,0
GBR,2010,0,1,0
MAR,2010,1,3,0
NLD,2010,1,3,0
PHL,2010,4,0,0
SWE,2010,5,4,0
URY,2010,1,3,0
ARE,2010,0,1,0
BGD,2010,0,1,0
BHR,2010,0,1,0
EGY,2010,0,1,0
ERI,2010,5,4,14
ETH,2010,5,6,0
IDN,2010,0,1,0
IND,2010,0,1,0
JOR,2010,5,6,0
KWT,2010,0,1,0
LBN,2010,5,6,0
LKA,2010,0,1,0
NGA,2010,3,2,0
NPL,2010,0,1,0
PSE,2010,5,6,0
QAT,2010,0,1,0
SAU,2010,5,6,0
SOM,2010,5,6,0
SYR,2010,5,6,0
THA,2010,4,0,0
TUN,2010,1,3,0
YEM,2010,5,6,0
ARM,2010,2,5,15
AUT,2010,2,4,0
BGR,2010,2,4,0
BOL,2010,1,3,0
BRA,2010,1,3,0
CHN,2010,4,0,0
COL,2010,1,3,0
CRI,2010,4,0,0
CUB,2010,4,0,0
CYP,2010,0,4,16
CZE,2010,2,4,0
DOM,2010,4,0,0
DZA,2010,1,3,0
ECU,2010,1,3,0
EST,2010,2,5,0
GTM,2010,4,0,0
HND,2010,4,0,0
HRV,2010,2,4,0
HTI,2010,4,0,0
HUN,2010,1,4,0
IRL,2010,0,1,0
IRN,2010,0,1,0
ISR,2010,1,6,0
JPN,2010,4,0,0
KOR,2010,4,0,0
LAO,2010,4,0,0
LTU,2010,2,5,17
MEX,2010,4,0,0
MNE,2010,2,4,18
NIC,2010,4,0,0
NOR,2010,5,4,19
NZL,2010,0,1,0
PAN,2010,4,0,0
PER,2010,1,3,0
POL,2010,2,4,0
PRK,2010,4,0,20
PRY,2010,1,3,0
ROU,2010,1,4,0
RUS,2010,2,5,0
SEN,2010,1,3,0
SLV,2010,4,0,0
SRB,2010,2,4,0
SVK,2010,2,4,0
SVN,2010,2,4,21
UKR,2010,2,5,0
AZE,2010,2,5,0
GEO,2010,2,5,0
IRQ,2010,5,6,0
KAZ,2010,2,5,0
TKM,2010,2,5,0
ASM,2010,0,1,22
FJI,2010,0,1,23
TON,2010,0,1,24
VNM,2010,4,0,0
WSM,2010,0,1,25
ATG,2010,4,0,26
BHS,2010,4,0,27
BLZ,2010,4,0,28
BRB,2010,4,0,29
DMA,2010,4,0,30
GHA,2010,3,2,0
GRD,2010,4,0,31
GUY,2010,4,0,0
JAM,2010,4,0,0
KNA,2010,4,0,32
LCA,2010,4,0,33
SUR,2010,1,3,0
TTO,2010,4,0,0
VCT,2010,4,0,34
BDI,2010,3,2,35
BEN,2010,3,2,0
BFA,2010,3,2,36
BIH,2010,2,4,0
BLR,2010,2,5,0
BRN,2010,0,1,37
BTN,2010,0,1,38
BWA,2010,3,2,39
CAF,2010,3,2,0
CMR,2010,3,2,0
DJI,2010,5,6,40
FIN,2010,5,4,0
GAB,2010,3,2,41
GMB,2010,3,2,42
KEN,2010,5,6,0
KGZ,2010,2,5,0
KHM,2010,4,0,0
KIR,2010,0,1,43
LBR,2010,3,2,44
LBY,2010,5,6,0
LSO,2010,3,2,5
