origin_iso3,dest_iso3,year,weight
IDN,NLD,1995,97207.0
SUR,NLD,1995,96668.0
IRN,USA,1995,95847.0
DEU,CAN,1995,95102.0
UKR,MDA,1995,94753.0
BOL,ARG,1995,93591.0
ROU,HUN,1995,93483.0
RWA,UGA,1995,92629.0
ALB,GRC,1995,91476.0
RUS,MDA,1995,91023.0
MAR,ISR,1995,90406.0
TKM,RUS,1995,87903.0
UKR,UZB,1995,86007.0
FRA,BEL,1995,85966.0
YEM,SAU,1995,84772.0
UKR,DEU,1995,83231.0
ISR,USA,1995,83196.0
GUY,USA,1995,82971.0
HRV,DEU,1995,82306.0
RWA,BDI,1995,82134.0
AGO,PRT,1995,81771.0
CHN,THA,1995,81333.0
SOM,KEN,1995,80916.0
TUR,FRA,1995,80889.0
IND,SAU,1995,80878.0
FRA,ITA,1995,80208.0
DEU,NLD,1995,80025.0
TGO,GHA,1995,79378.0
PRT,CAN,1995,79377.0
TUR,NLD,1995,78818.0
ROU,ISR,1995,78645.0
MOZ,ZAF,1995,77478.0
USA,GBR,1995,77024.0
FRA,ESP,1995,76563.0
POL,FRA,1995,76281.0
JAM,GBR,1995,76212.0
DEU,RUS,1995,75322.0
MKD,TUR,1995,74924.0
VNM,AUS,1995,74617.0
PAN,USA,1995,74165.0
BLR,POL,1995,73919.0
PSE,LBY,1995,73835.0
MAR,ESP,1995,73604.0
HTI,DOM,1995,73279.0
BEL,FRA,1995,73088.0
GRC,USA,1995,71936.0
UGA,KEN,1995,71682.0
HRV,ITA,1995,70799.0
PRT,USA,1995,70636.0
LTU,POL,1995,70488.0
AGO,ZMB,1995,70443.0
SLV,GTM,1995,70239.0
EGY,ARE,1995,69873.0
BRA,JPN,1995,69456.0
VNM,CAN,1995,68134.0
GRC,AUS,1995,67382.0
ITA,BEL,1995,67038.0
JAM,CAN,1995,66454.0
GBR,ZAF,1995,65442.0
RUS,LTU,1995,65154.0
BDI,COD,1995,64715.0
NIC,CRI,1995,64634.0
DEU,AUT,1995,64343.0
PHL,AUS,1995,64241.0
MAR,NLD,1995,62113.0
BRA,USA,1995,61871.0
TTO,USA,1995,61785.0
DEU,AUS,1995,61739.0
NLD,CAN,1995,61095.0
DEU,POL,1995,60921.0
CHN,BGD,1995,60456.0
SLE,LBR,1995,60159.0
URY,ARG,1995,60127.0
VNM,FRA,1995,59053.0
BGD,GBR,1995,58909.0
KEN,GBR,1995,58641.0
POL,ISR,1995,58086.0
MYS,BGD,1995,58080.0
COD,COG,1995,58067.0
FRA,CHE,1995,57882.0
SRB,AUT,1995,57612.0
CHN,IND,1995,57464.0
BIH,AUT,1995,56881.0
KHM,USA,1995,56629.0
PHL,JPN,1995,56560.0
CHN,AUS,1995,56444.0
DEU,ESP,1995,55685.0
FRA,DEU,1995,55454.0
ISR,PSE,1995,54649.0
JOR,SAU,1995,54176.0
BTN,NPL,1995,53134.0
PAK,ARE,1995,52745.0
RUS,TKM,1995,52244.0
BEN,NGA,1995,52026.0
PAK,SAU,1995,51852.0
LVA,RUS,1995,51425.0
RUS,GEO,1995,51100.0
PRT,CHE,1995,50429.0
RUS,POL,1995,49402.0
ZAF,GBR,1995,49243.0
EGY,KWT,1995,49033.0
ITA,GBR,1995,48892.0
GEO,ARM,1995,48415.0
CHN,KAZ,1995,48126.0
AUS,GBR,1995,47823.0
ROU,USA,1995,47746.0
UKR,KAZ,1995,47693.0
MRT,SEN,1995,47395.0
COD,RWA,1995,45732.0
BRA,PRY,1995,45708.0
NLD,AUS,1995,45552.0
NLD,BEL,1995,45521.0
ESP,DEU,1995,45520.0
TCD,CMR,1995,45134.0
UZB,TKM,1995,44797.0
TUR,AUT,1995,44598.0
SEN,GMB,1995,43965.0
AZE,UKR,1995,43917.0
GRC,TUR,1995,43771.0
IRN,DEU,1995,43679.0
USA,DEU,1995,43666.0
DEU,BEL,1995,43457.0
LTU,RUS,1995,43231.0
GEO,AZE,1995,43152.0
LKA,SAU,1995,43100.0
MYS,AUS,1995,42889.0
MAR,BEL,1995,42850.0
PAK,USA,1995,42843.0
GBR,ESP,1995,42639.0
FRA,GBR,1995,42154.0
SYR,SAU,1995,42132.0
HUN,DEU,1995,41928.0
IRQ,ISR,1995,41928.0
MLI,BFA,1995,41822.0
EGY,USA,1995,41746.0
NGA,CMR,1995,41552.0
PSE,SAU,1995,41306.0
BLR,LVA,1995,41211.0
ALB,ITA,1995,41161.0
KGZ,KAZ,1995,40874.0
CHE,FRA,1995,40820.0
UKR,KGZ,1995,40777.0
MDG,FRA,1995,40757.0
BLR,LTU,1995,40433.0
GBR,FRA,1995,40207.0
KAZ,BLR,1995,40006.0
MNE,SRB,1995,39670.0
FRA,PRT,1995,39628.0
ESP,USA,1995,39564.0
GUY,CAN,1995,38785.0
MOZ,PRT,1995,38698.0
IND,OMN,1995,38664.0
IDN,BGD,1995,38663.0
ARG,USA,1995,38656.0
GRC,CAN,1995,38559.0
GEO,UKR,1995,38536.0
SOM,DJI,1995,38421.0
NGA,USA,1995,38398.0
IDN,ARE,1995,37682.0
CAN,GBR,1995,37380.0
JPN,BRA,1995,37284.0
BGD,USA,1995,36708.0
ZWE,ZAF,1995,36571.0
POL,AUS,1995,36344.0
ARG,ESP,1995,36326.0
IND,AUS,1995,36093.0
GHA,NGA,1995,35970.0
LBN,AUS,1995,35965.0
MAR,ITA,1995,35937.0
NIC,HND,1995,35454.0
PAK,KWT,1995,34570.0
TZA,KEN,1995,34282.0
DEU,GRC,1995,33877.0
CZE,AUT,1995,33846.0
ALB,MKD,1995,33827.0
EST,RUS,1995,33811.0
AUT,CHE,1995,33673.0
BGD,OMN,1995,33416.0
MKD,SRB,1995,33162.0
SEN,FRA,1995,33157.0
THA,MYS,1995,33142.0
MLI,NER,1995,32289.0
PHL,ARE,1995,31900.0
POL,GBR,1995,31877.0
BIH,SVN,1995,31789.0
SLV,HND,1995,31519.0
BGD,ARE,1995,31338.0
LBN,USA,1995,31310.0
PSE,IRQ,1995,31109.0
BLR,KAZ,1995,30699.0
NGA,GBR,1995,30690.0
GIN,SLE,1995,30449.0
FRA,CAN,1995,30407.0
SRB,HRV,1995,30390.0
TUR,GRC,1995,30376.0
KOR,CHN,1995,30365.0
CHN,RUS,1995,30308.0
MAR,DEU,1995,30226.0
TUR,CHE,1995,30151.0
ROU,ITA,1995,30147.0
ZAF,AUS,1995,30009.0
BGR,DEU,1995,29946.0
JOR,PSE,1995,29710.0
TTO,CAN,1995,29627.0
IDN,QAT,1995,29435.0
COD,UGA,1995,29412.0
MDA,ROU,1995,29256.0
MWI,ZWE,1995,29183.0
USA,ITA,1995,29172.0
MOZ,MWI,1995,28953.0
VNM,DEU,1995,28825.0
AUS,NZL,1995,28726.0
TUR,BEL,1995,28681.0
ARG,PRY,1995,28615.0
MNG,KAZ,1995,28167.0
MOZ,TZA,1995,28094.0
ZMB,MWI,1995,28002.0
KHM,FRA,1995,27919.0
GBR,ITA,1995,27806.0
PER,ARG,1995,27720.0
LAO,BGD,1995,27395.0
UZB,AZE,1995,27278.0
ITA,BRA,1995,27187.0
HRV,AUS,1995,27089.0
IRN,ISR,1995,27033.0
NOR,SWE,1995,26885.0
LSO,ZAF,1995,26870.0
BDI,UGA,1995,26798.0
RUS,GRC,1995,26741.0
USA,ISR,1995,26716.0
GEO,GRC,1995,26703.0
POL,SWE,1995,26686.0
LKA,ARE,1995,26484.0
RUS,AZE,1995,26453.0
MLT,AUS,1995,26420.0
LBN,CAN,1995,26330.0
