model,dependent,predictor,coefficient,std_error,t_stat,p_value,ci_lower_95,ci_upper_95,n_obs,r_squared,adj_r2,aic,bic,significant_95,year
year_2005,log_in_strength,visa_openness_index,-0.0011530067592159467,0.004107285456901859,-0.2807223338417934,0.7792687858179016,-0.009261548884007334,0.00695553536557544,176.0,0.6067956218844676,0.5904121061296537,583.8481470134395,609.2120189737448,False,2005
year_2005,log_in_strength,climate_vulnerability,-3.19931211309826,2.25416297999687,-1.4192905044970185,0.15766708056516246,-7.64944728661918,1.2508230604226598,176.0,0.6067956218844676,0.5904121061296537,583.8481470134395,609.2120189737448,False,2005
year_2010,log_in_strength,const,-3.3948381599869206,2.467515910148496,-1.3758120650912513,0.17071123713530797,-8.266171528699042,1.4764952087252006,176.0,0.6355404710339239,0.620354657327004,573.9148439274315,599.2787158877368,False,2010
year_2010,log_in_strength,log_population,0.7547575956078565,0.05788646761477254,13.038584434460178,2.703037138659951e-27,0.6404789884754936,0.8690362027402194,176.0,0.6355404710339239,0.620354657327004,573.9148439274315,599.2787158877368,True,2010
year_2010,log_in_strength,log_gdp_per_capita,0.4415134668504849,0.13856674125142723,3.186287437108487,0.0017184335897854279,0.16795705828769114,0.7150698754132787,176.0,0.6355404710339239,0.620354657327004,573.9148439274315,599.2787158877368,True,2010
year_2010,log_in_strength,conflict_intensity,1.0081013414099042e-05,0.0001354559812588221,0.07442280008910628,0.940762508587222,-0.0002573341788381097,0.0002774962056663078,176.0,0.6355404710339239,0.620354657327004,573.9148439274315,599.2787158877368,False,2010
year_2010,log_in_strength,unemployment,0.00823235007769644,0.01595616175615087,0.5159354864601438,0.6065778195017855,-0.023268068168696247,0.039732768324089125,176.0,0.6355404710339239,0.620354657327004,573.9148439274315,599.2787158877368,False,2010
year_2010,log_in_strength,education_index,0.002186103751874627,0.05200607943086427,0.04203554230194923,0.966520281021251,-0.10048352810967483,0.10485573561342408,176.0,0.6355404710339239,0.620354657327004,573.9148439274315,599.2787158877368,False,2010
year_2010,log_in_strength,visa_openness_index,0.0011689027638783012,0.0030929644551578733,0.3779231157762003,0.7059647721205836,-0.00493718186021003,0.007274987387966632,176.0,0.6355404710339239,0.620354657327004,573.9148439274315,599.2787158877368,False,2010
year_2010,log_in_strength,climate_vulnerability,-2.3212186609102794,2.2042003314590954,-1.0530887904248352,0.2938125650767283,-6.672718313577901,2.0302809917573423,176.0,0.6355404710339239,0.620354657327004,573.9148439274315,599.2787158877368,False,2010
