ISO3,Country_Name,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
IND,India,1002.0,2396.0,3180.0,3078.0,1503.0,1214.0,836.0,838.0,999.0,933.0,2073.0,3015.0,1336.0,2033.0,1875.0,1667.0,1382.0,1373.0,1086.0,1083.0,1115.0,1028.0,439.0,416.0,420.0,491.0,535.0,697.0,757.0,851.0,647.0,651.0,431.0,310.0,215.0,437.0,675.0
IRN,Iran,0.0,31.0,45.0,0.0,186.0,0.0,0.0,27.0,38.0,0.0,28.0,40.0,119.0,0.0,0.0,0.0,28.0,57.0,86.0,121.0,133.0,74.0,242.0,0.0,0.0,0.0,0.0,30.0,27.0,183.0,169.0,496.0,196.0,56.0,194.0,662.0,1310.0
IRQ,Iraq,50.0,1152.0,23274.0,306.0,75.0,34.0,587.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,7927.0,4094.0,2608.0,3923.0,2212.0,2112.0,1036.0,989.0,864.0,565.0,1870.0,13797.0,10982.0,9775.0,10012.0,866.0,498.0,674.0,707.0,340.0,203.0,217.0,143.0
ISR,Israel,54.0,71.0,56.0,120.0,171.0,126.0,108.0,162.0,88.0,54.0,41.0,104.0,244.0,613.0,308.0,386.0,123.0,1649.0,276.0,668.0,696.0,27.0,78.0,235.0,0.0,2378.0,0.0,0.0,0.0,164.0,188.0,461.0,435.0,140.0,26995.0,26376.0,14522.0
JAM,Jamaica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
JOR,Jordan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KEN,Kenya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,49.0,85.0,69.0,61.0,94.0,78.0,72.0,196.0,52.0,89.0
KGZ,Kyrgyzstan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,150.0,0.0,0.0,0.0
KHM,Cambodia (Kampuchea),818.0,274.0,220.0,118.0,274.0,464.0,694.0,788.0,415.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
KWT,Kuwait,0.0,1058.0,21790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
