dest_iso3,origin_iso3,year,migrant_stock,is_extrapolated
ZAF,SLE,1990,37.0,False
ZAF,CHN,1990,630.0,False
ZAF,PRK,1990,1477.0,False
ZAF,JPN,1990,308.0,False
ZAF,KOR,1990,690.0,False
ZAF,AFG,1990,2.0,False
ZAF,BGD,1990,4.0,False
ZAF,IND,1990,6114.0,False
ZAF,IRN,1990,631.0,False
ZAF,NPL,1990,7.0,False
ZAF,PAK,1990,179.0,False
ZAF,LKA,1990,120.0,False
ZAF,IDN,1990,353.0,False
ZAF,MYS,1990,245.0,False
ZAF,PHL,1990,170.0,False
ZAF,THA,1990,5.0,False
ZAF,VNM,1990,7.0,False
ZAF,CYP,1990,1268.0,False
ZAF,ISR,1990,1226.0,False
ZAF,LBN,1990,189.0,False
ZAF,SAU,1990,31.0,False
ZAF,TUR,1990,197.0,False
ZAF,ARE,1990,5.0,False
ZAF,YEM,1990,9.0,False
ZAF,BGR,1990,139.0,False
ZAF,CZE,1990,659.0,False
ZAF,HUN,1990,611.0,False
ZAF,POL,1990,2616.0,False
ZAF,ROU,1990,247.0,False
ZAF,RUS,1990,1350.0,False
ZAF,SVK,1990,102.0,False
ZAF,UKR,1990,945.0,False
ZAF,DNK,1990,494.0,False
ZAF,EST,1990,8.0,False
ZAF,FIN,1990,256.0,False
ZAF,IRL,1990,3369.0,False
ZAF,LVA,1990,128.0,False
ZAF,LTU,1990,150.0,False
ZAF,NOR,1990,276.0,False
ZAF,SWE,1990,212.0,False
ZAF,GBR,1990,86658.0,False
ZAF,ALB,1990,48.0,False
ZAF,BIH,1990,262.0,False
ZAF,HRV,1990,254.0,False
ZAF,GRC,1990,2565.0,False
ZAF,ITA,1990,4754.0,False
ZAF,MLT,1990,137.0,False
ZAF,PRT,1990,11534.0,False
ZAF,SRB,1990,634.0,False
ZAF,ESP,1990,410.0,False
ZAF,AUT,1990,1283.0,False
ZAF,BEL,1990,1922.0,False
ZAF,FRA,1990,1579.0,False
ZAF,DEU,1990,12082.0,False
ZAF,NLD,1990,10279.0,False
ZAF,CHE,1990,1393.0,False
ZAF,CUB,1990,83.0,False
ZAF,MEX,1990,154.0,False
