iso3,year,gdp_per_capita,population,unemployment,conflict_intensity,education_index,climate_vulnerability
CIV,2000,936.636541348798,17699004.0,4.835,0.0,6.387237668,0.501040548253211
CIV,2005,1197.74616979415,20068458.0,6.023,0.0,5.776681364,0.494723154331095
CIV,2010,1553.54887048143,22488065.0,6.607,0.0,5.166125059,0.493896047868622
CIV,2015,1814.71855088017,25246342.0,2.573,0.0,4.308879972,0.488387300716929
CIV,2020,2179.72934832935,28915449.0,2.588,1.0,4.23697763,0.485618147370348
CIV,2025,,,2.323,0.0,,
CMR,1990,1086.71700937081,11331821.0,,0.0,2.137418272,
CMR,1995,832.006674487689,13058516.0,8.598,0.0,2.556278337,0.496707266776126
CMR,2000,708.565731625965,14912631.0,7.533,0.0,2.981298109,0.49746774108075
CMR,2005,1142.62466252106,17074594.0,4.4,0.0,3.369359639,0.492798780234306
CMR,2010,1398.58702025047,19668066.0,4.11,0.0,5.203209877,0.49099379249661
CMR,2015,1415.00009710569,22763414.0,3.518,1.0,5.963522553,0.485771936778377
CMR,2020,1555.60370660749,26210558.0,3.881,1.0,6.537401781,0.482893094688844
CMR,2025,,,3.602,0.0,,
COD,1990,254.872656292509,36684063.0,,2.0,3.516495009,
COD,1995,127.008078734668,44433704.0,3.285,0.0,4.563629078,0.565757004554937
COD,2000,377.925421481395,50507442.0,3.245,2.0,5.141897147,0.572045107618978
COD,2005,214.539740473519,58775724.0,2.948,1.0,5.438845614,0.564748968644645
COD,2010,352.400398754692,68563038.0,4.098,1.0,5.642020881,0.567977555361864
COD,2015,495.826633014883,81035531.0,4.441,1.0,6.49326992,0.568621917997523
COD,2020,486.425572682256,95989998.0,5.355,1.0,7.206164799,0.563297689856726
COD,2025,,,4.434,0.0,,
COG,1990,1175.66709098428,2380560.0,,0.0,5.860829425,
COG,1995,769.606794842829,2749461.0,20.226,0.0,6.755306809,0.552828896142527
COG,2000,1024.30159109181,3151345.0,19.872,0.0,7.26262234,0.547426957222818
COG,2005,1799.05158366154,3696393.0,19.796,0.0,7.502929697,0.551134051559731
COG,2010,2946.55798067708,4462290.0,19.3,1.0,7.56968174,0.527115598300675
COG,2015,2439.35189403696,5097581.0,20.02,1.0,8.157099724,0.523258973568623
COG,2020,1993.586671931,5752791.0,22.286,1.0,8.250552585,0.522585888004617
COG,2025,,,19.876,0.0,,
COL,1990,1474.8455285342,32440069.0,,1.0,6.340998417,
COL,1995,2583.66576349858,35804662.0,8.72,1.0,6.600705494,0.442842596681406
COL,2000,2555.00751039968,39089934.0,20.52,2.0,6.862919114,0.441502442208421
COL,2005,3456.06610874512,42128977.0,11.062,2.0,7.284200191,0.434064639774885
COL,2010,6398.2958447102,44777319.0,11.153,1.0,7.393869877,0.423508985756961
COL,2015,6248.51490534512,46969940.0,8.572,1.0,8.047450066,0.418212504302865
COL,2020,5339.68711357943,50629997.0,15.983,1.0,8.862859726,0.406469207944245
COL,2025,,,8.29,0.0,,
COM,1990,903.20430581841,444596.0,,0.0,,
COM,1995,800.623567802959,490586.0,4.675,0.0,,0.554275193298948
COM,2000,633.309032776244,536080.0,4.4,0.0,2.71568799,0.551818379348279
COM,2005,1105.78796866788,592677.0,4.527,0.0,3.501464665,0.54017428692085
COM,2010,1386.5742428453,654836.0,4.19,0.0,4.28724134,0.529671261281742
COM,2015,1329.37048235986,726682.0,4.031,0.0,5.148726497,0.524286160772053
COM,2020,1519.34665556206,802163.0,4.468,0.0,6.209056832,0.526176290338831
COM,2025,,,3.819,0.0,,
CPV,1990,817.442925539738,375428.0,,0.0,,
CPV,1995,1165.13832331934,418104.0,12.883,0.0,,0.43445696224619
CPV,2000,1189.51479345891,453317.0,13.024,0.0,5.314436678,0.433624939988604
CPV,2005,2004.14680417563,485115.0,13.439,0.0,5.490309197,0.43086624987396
CPV,2010,3579.46006137809,509784.0,10.67,0.0,5.672001926,0.423043214012607
CPV,2015,3415.06266730931,512394.0,11.923,0.0,5.858970165,0.419215515468014
CPV,2020,3539.22661248299,514679.0,14.65,0.0,6.09003905,0.426105779833532
CPV,2025,,,11.939,0.0,,
CRI,1990,1829.6687089559,3121706.0,,0.0,6.246158944,
CRI,1995,3275.25256447416,3535176.0,5.18,0.0,6.962734944,0.438843647782135
